DATE, NORMAL-LEVEL,RES-LEVEL,AF,CHANGE-ACRE-FEET,STORED,DRAWDOWN,OUTFLOW,SUPPLY,INFLOW,
1989-02-19,   250.10,  250.61,    115208.,  3483.,  1756.0,        0,     96.0,    40.0,   1892.0,
1989-02-20,   250.10,  250.84,    117878.,  2670.,  1346.0,        0,    331.0,    31.0,   1708.0,
1989-02-21,   250.10,  252.78,    142392., 24514., 12359.0,        0,    316.0,    51.0,  12726.0,
1989-02-22,   250.10,  255.02,    173439., 31047., 15653.0,        0,    275.0,    43.0,  15971.0,
1989-02-23,   250.10,  255.46,    179929.,  6490.,  3272.0,        0,   1968.0,    64.0,   5304.0,
1989-02-24,   250.10,  255.43,    179487.,  -442.,       0,   -223.0,   3030.0,    38.0,   2845.0,
1989-02-25,   250.10,  255.16,    175504., -3983.,       0,  -2008.0,   3024.0,    53.0,   1069.0,
1989-02-26,   250.10,  254.95,    172435., -3069.,       0,  -1547.0,   3018.0,    50.0,   1521.0,
1989-02-27,   250.10,  255.06,    174029.,  1594.,   804.0,        0,   2450.0,    34.0,   3288.0,
1989-02-28,   250.10,  256.43,    194524., 20495., 10333.0,        0,    686.0,    51.0,  11070.0,
1989-03-01,   250.10,  257.07,    204437.,  9913.,  4998.0,        0,   1527.0,    54.0,   6579.0,
1989-03-02,   250.10,  256.84,    200846., -3591.,       0,  -1810.0,   3411.0,    39.0,   1640.0,
1989-03-03,   250.10,  256.76,    199612., -1234.,       0,   -622.0,   3818.0,    41.0,   3237.0,
1989-03-04,   250.10,  256.91,    201925.,  2313.,  1166.0,        0,   3109.0,    67.0,   4342.0,
1989-03-05,   250.10,  256.81,    200383., -1542.,       0,   -777.0,   2904.0,    38.0,   2165.0,
1989-03-06,   250.10,  256.93,    202234.,  1851.,   933.0,        0,   2902.0,    23.0,   3858.0,
