,index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted,stage1,stage2,stage3
183,184,4,1,5.70518,45.498403793556605,36374.8791653848,40009.6947917794,62.5005659405118,72.2340366580798,31678.140566283597,33419.1929057358,7072.932983218199,7678.81265018998,-1.75759749920564,-1.2496570476348001,True,True,False
184,185,5,1,5.71887,36.50692030247421,35410.1588121869,40009.6947917794,56.88020205286429,72.2340366580798,30901.769733343903,33419.1929057358,6946.10806188577,7678.81265018998,-2.0260238290573302,-1.2496570476348001,True,True,False
185,186,6,1,5.732559999999999,32.4808510483808,34711.5740833057,40009.6947917794,51.78967438964111,72.2340366580798,30204.565526178398,33419.1929057358,6890.6883649869205,7678.81265018998,-2.24515014539875,-1.2496570476348001,True,True,False
186,187,7,1,5.7461400000000005,-1.2242213825552601,34012.9893544245,40009.6947917794,46.699146726417894,72.2340366580798,29507.3613190129,33419.1929057358,6835.26866808808,7678.81265018998,-2.46427646174017,-1.2496570476348001,True,True,True
187,188,8,1,5.75929,-18.7183848450226,33709.902390741096,40009.6947917794,42.1531092901929,72.2340366580798,28923.5278649833,33419.1929057358,6864.1964673579605,7678.81265018998,-2.62827240271995,-1.2496570476348001,True,True,True
188,189,9,1,5.77229,-24.8089380887959,33406.8154270577,40009.6947917794,37.607071853967796,72.2340366580798,28339.694410953798,33419.1929057358,6893.1242666278395,7678.81265018998,-2.79226834369974,-1.2496570476348001,True,True,True
189,190,10,1,5.78541,-40.4859087065981,34228.7283616044,40009.6947917794,36.532199816935794,72.2340366580798,28199.979835115097,33419.1929057358,6933.760667231099,7678.81265018998,-2.8179104205214602,-1.2496570476348001,True,True,True
190,191,11,1,5.79898,-47.8745849864099,35050.6412961512,40009.6947917794,35.4573277799037,72.2340366580798,28060.2652592765,33419.1929057358,6974.39706783437,7678.81265018998,-2.8435524973431803,-1.2496570476348001,True,True,True
191,192,12,1,5.81182,164.835043952143,35835.6393218597,40009.6947917794,37.802784241192896,72.2340366580798,28176.3864761829,33419.1929057358,6991.042860654829,7678.81265018998,-2.73705253853046,-1.2496570476348001,False,False,False
192,193,1,1,5.8259,76.0306558213001,36620.6373475683,40009.6947917794,40.1482407024821,72.2340366580798,28292.5076930894,33419.1929057358,7007.6886534753,7678.81265018998,-2.6305525797177403,-1.2496570476348001,False,False,False
193,194,2,1,5.83959,45.160975507540705,37027.3279945339,40009.6947917794,44.7312750613377,72.2340366580798,28229.7724273336,33419.1929057358,7009.63346404188,7678.81265018998,-2.41578666713911,-1.2496570476348001,True,False,False
194,195,3,1,5.8524199999999995,137.62125955653798,37434.018641499504,40009.6947917794,49.314309420193204,72.2340366580798,28167.0371615777,33419.1929057358,7011.578274608471,7678.81265018998,-2.2010207545604703,-1.2496570476348001,False,False,False
195,196,4,1,5.86606,45.3352558416058,37024.907858853396,40009.6947917794,54.2248454097284,72.2340366580798,27843.6629133684,33419.1929057358,6993.652404854711,7678.81265018998,-1.9579659287051001,-1.2496570476348001,True,True,False
196,197,5,1,5.8795,73.25151796735129,36615.7970762072,40009.6947917794,59.1353813992636,72.2340366580798,27520.288665158998,33419.1929057358,6975.726535100961,7678.81265018998,-1.71491110284973,-1.2496570476348001,True,False,False
197,198,6,1,5.8934,62.55714548770221,36917.5447944641,40009.6947917794,64.0394708879671,72.2340366580798,27747.0240653662,33419.1929057358,6999.64393220417,7678.81265018998,-1.50078005158836,-1.2496570476348001,True,False,False
